"Timestamp","Metric","Value"
"2024-08-14 13:25:23","PingSuccess","True"
"2024-08-14 13:25:23","PingAvgResponseTime","88.25"
"2024-08-14 13:25:23","PingMinResponseTime","78"
"2024-08-14 13:25:23","PingMaxResponseTime","97"
"2024-08-14 13:25:23","PortSuccess","True"
"2024-08-14 13:25:56","PingSuccess","True"
"2024-08-14 13:25:56","PingAvgResponseTime","106.5"
"2024-08-14 13:25:56","PingMinResponseTime","85"
"2024-08-14 13:25:56","PingMaxResponseTime","123"
"2024-08-14 13:25:56","PortSuccess","True"
"2024-08-14 13:26:30","PingSuccess","True"
"2024-08-14 13:26:30","PingAvgResponseTime","84.25"
"2024-08-14 13:26:30","PingMinResponseTime","74"
"2024-08-14 13:26:30","PingMaxResponseTime","92"
"2024-08-14 13:26:30","PortSuccess","True"
